Model,Accuracy,Precision,Recall,F1,Training Time (s),Prediction Time (s)
lstm_bahdanau_pretrained,0.7716381418092909,0.0,0.0,0.0,325.5766899585724,5.723083257675171
lstm_bahdanau_random,0.8092909535452323,0.7655172413793103,0.23768736616702354,0.3627450980392157,229.64083909988403,4.99494481086731
lstm_luong_pretrained,0.7716381418092909,0.0,0.0,0.0,265.2083423137665,3.5813803672790527
lstm_luong_random,0.8537897310513447,0.7641509433962265,0.5203426124197003,0.619108280254777,288.1413106918335,4.412299156188965
lstm_scaled_dot_pretrained,0.7716381418092909,0.0,0.0,0.0,325.410765171051,3.688965320587158
lstm_scaled_dot_random,0.8528117359413203,0.718421052631579,0.5845824411134903,0.6446280991735537,326.66926550865173,3.5935447216033936
bilstm_bahdanau_pretrained,0.7716381418092909,0.0,0.0,0.0,472.915983915329,11.477006435394287
bilstm_bahdanau_random,0.776039119804401,0.9090909090909091,0.021413276231263382,0.04184100418410042,330.0241770744324,11.502921104431152
bilstm_luong_pretrained,0.7716381418092909,0.0,0.0,0.0,158.43096327781677,11.394720315933228
bilstm_luong_random,0.854278728606357,0.8028673835125448,0.4796573875802998,0.6005361930294906,448.441645860672,6.273210048675537
bilstm_scaled_dot_pretrained,0.7716381418092909,0.0,0.0,0.0,570.4151377677917,11.35731053352356
bilstm_scaled_dot_random,0.858679706601467,0.7445054945054945,0.5802997858672377,0.6522262334536703,448.0638642311096,6.335180044174194
gru_bahdanau_pretrained,0.7716381418092909,0.0,0.0,0.0,136.99234747886658,3.0626511573791504
gru_bahdanau_random,0.854278728606357,0.7985865724381626,0.48394004282655245,0.6026666666666667,280.8132658004761,3.789628744125366
gru_luong_pretrained,0.7716381418092909,0.0,0.0,0.0,205.5346155166626,5.583799600601196
gru_luong_random,0.858679706601467,0.788961038961039,0.5203426124197003,0.6270967741935484,325.21633768081665,3.019735813140869
gru_scaled_dot_pretrained,0.7716381418092909,0.0,0.0,0.0,145.95358276367188,2.8453564643859863
gru_scaled_dot_random,0.854278728606357,0.8188679245283019,0.46466809421841543,0.592896174863388,271.80926871299744,3.331796646118164
